Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (?),Peak to peak (B) (V),"Phase (B, A) (?)"
30/6/2024 2:41:33 AM,36003.69,0.2555193,0.7423322,63.0234
30/6/2024 2:41:33 AM,36003.69,0.2625691,0.7468337,64.57552
30/6/2024 2:41:34 AM,36505.14,0.2572833,0.7558367,63.93901
30/6/2024 2:41:34 AM,36505.14,0.2572833,0.7558367,62.86693
30/6/2024 2:41:34 AM,36495.76,0.2572833,0.7603382,62.8851
30/6/2024 2:41:34 AM,36495.76,0.2590472,0.7513351,62.86692
30/6/2024 2:41:34 AM,36505.14,0.2625691,0.7513351,64.15137
30/6/2024 2:41:34 AM,36505.14,0.2590472,0.7513351,62.88514
30/6/2024 2:41:34 AM,36505.14,0.2590472,0.7558367,64.23026
30/6/2024 2:41:34 AM,36505.14,0.2590472,0.7558367,63.95717
30/6/2024 2:41:34 AM,36505.14,0.2590472,0.7513351,63.37321
30/6/2024 2:41:34 AM,36495.76,0.2590472,0.7558367,63.86001
30/6/2024 2:41:34 AM,36495.76,0.2625691,0.7558367,65.02229
30/6/2024 2:41:34 AM,36505.14,0.2608051,0.7513351,63.5681
30/6/2024 2:41:34 AM,36495.76,0.2590472,0.7513351,63.37324
30/6/2024 2:41:34 AM,36505.14,0.2590472,0.7558367,63.54993
30/6/2024 2:41:34 AM,36495.76,0.2555193,0.7603229,64.23022
30/6/2024 2:41:34 AM,36495.76,0.2608051,0.7558367,64.24837
30/6/2024 2:41:34 AM,36495.76,0.2590472,0.7558367,63.54993
30/6/2024 2:41:34 AM,36495.76,0.2572833,0.7558367,64.23026
30/6/2024 2:41:34 AM,36505.14,0.2572833,0.7558367,64.05431
30/6/2024 2:41:34 AM,36505.14,0.2572833,0.7603382,63.74461
30/6/2024 2:41:34 AM,36505.14,0.2555193,0.7603382,63.74462
30/6/2024 2:41:34 AM,36495.76,0.2572833,0.7513351,63.74459
30/6/2024 2:41:35 AM,37006.58,0.2590472,0.7693259,64.29311
30/6/2024 2:41:35 AM,37006.58,0.2608051,0.7693259,64.38912
30/6/2024 2:41:35 AM,37006.58,0.2537553,0.7648244,63.81213
30/6/2024 2:41:35 AM,37006.58,0.2590411,0.7693259,64.96401
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7693259,63.50494
30/6/2024 2:41:35 AM,36997.08,0.2555193,0.7648244,64.96407
30/6/2024 2:41:35 AM,36997.08,0.2555193,0.7693259,64.10102
30/6/2024 2:41:35 AM,36997.08,0.2555193,0.7738273,64.37128
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7648244,64.77271
30/6/2024 2:41:35 AM,37006.58,0.264333,0.7648244,63.40845
30/6/2024 2:41:35 AM,36997.08,0.2537553,0.7648244,63.79419
30/6/2024 2:41:35 AM,37006.58,0.2608051,0.7738273,64.4851
30/6/2024 2:41:35 AM,36997.08,0.2590472,0.7648244,64.67691
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7648244,64.659
30/6/2024 2:41:35 AM,37006.58,0.2608051,0.7648244,64.96413
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7693259,64.27522
30/6/2024 2:41:35 AM,37006.58,0.2590411,0.7648244,65.32823
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7648244,64.85049
30/6/2024 2:41:35 AM,36997.08,0.2572833,0.7648244,64.77464
30/6/2024 2:41:35 AM,37006.58,0.2590411,0.7648244,65.25076
30/6/2024 2:41:35 AM,37006.58,0.2590472,0.7648244,64.00471
30/6/2024 2:41:36 AM,37498.39,0.2608051,0.7783288,64.60457
30/6/2024 2:41:36 AM,37498.39,0.2608051,0.7783288,64.90713
30/6/2024 2:41:36 AM,37508.02,0.2572833,0.7828303,65.0019
30/6/2024 2:41:36 AM,37508.02,0.2555193,0.7783288,64.71741
30/6/2024 2:41:36 AM,37498.39,0.2555193,0.7783288,64.88925
30/6/2024 2:41:36 AM,37508.02,0.2537553,0.7738273,64.52747
30/6/2024 2:41:36 AM,37498.39,0.2590472,0.7828303,64.88923
30/6/2024 2:41:36 AM,37498.39,0.2537553,0.7783288,64.22424
30/6/2024 2:41:36 AM,37498.39,0.2625691,0.7828303,64.3194
30/6/2024 2:41:36 AM,37498.39,0.2555193,0.7783288,65.36248
30/6/2024 2:41:36 AM,37508.02,0.2572833,0.7783288,64.79446
30/6/2024 2:41:36 AM,37498.39,0.2555193,0.7828303,65.07873
30/6/2024 2:41:36 AM,37498.39,0.2572833,0.7783288,64.79447
30/6/2024 2:41:36 AM,37498.39,0.2625691,0.7783288,64.60458
30/6/2024 2:41:36 AM,37498.39,0.2555193,0.7828303,64.98401
30/6/2024 2:41:36 AM,37498.39,0.2590411,0.7828302,62.71938
30/6/2024 2:41:36 AM,37498.39,0.2608051,0.7828303,64.88924
30/6/2024 2:41:36 AM,37498.39,0.2537553,0.7783288,62.91085
30/6/2024 2:41:36 AM,37498.39,0.2537553,0.7783288,63.74749
30/6/2024 2:41:36 AM,37498.39,0.2555254,0.7828303,66.02229
30/6/2024 2:41:36 AM,37498.39,0.2555193,0.7783288,65.45697
30/6/2024 2:41:36 AM,37508.02,0.2625691,0.7783288,64.43245
30/6/2024 2:41:36 AM,37498.39,0.2572833,0.7783288,63.55639
30/6/2024 2:41:37 AM,38009.47,0.2572833,0.7918332,65.50732
30/6/2024 2:41:37 AM,38009.47,0.2537553,0.7963195,64.00304
30/6/2024 2:41:37 AM,38009.47,0.2537553,0.7873318,64.26856
30/6/2024 2:41:37 AM,37999.71,0.2572833,0.7873318,65.48972
