Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
8500.544,0.2343761,0.904762144,0.7468489,65.43654,,,
8500.596,0.2343761,0.904762144,0.7423475,65.52693,,,
8500.544,0.2361339,0.91154778,0.7468337,64.78578,,,
8500.544,0.2343761,0.904762144,0.7558214,65.14027,,,
8500.544,0.2343761,0.904762144,0.7468489,65.71408,,,
8500.596,0.23614,0.911571328,0.7468489,66.26985,,,
8500.544,0.2343761,0.904762144,0.7468489,65.7141,,,
8500.596,0.2343761,0.904762144,0.7423475,65.62155,,,
8500.596,0.2343761,0.904762144,0.7468489,65.25164,,,
8500.596,0.2343761,0.904762144,0.7513351,65.98972,,,
8500.544,0.2378979,0.91835735,0.7423475,65.25165,,,
8500.596,0.2343761,0.904762144,0.7468489,65.15919,,,
8500.544,0.2361339,0.91154778,0.7423475,65.52902,,,
9001.271,0.2378979,0.91835735,0.7018341,63.70955,,,
9000.576,0.2378979,0.91835735,0.7018341,63.91823,,,
9000.576,0.2378979,0.91835735,0.7018341,63.43999,,,
9000.576,0.2396558,0.925143372,0.7018341,64.68219,,,
9001.271,0.2378979,0.91835735,0.7063357,64.76019,,,
9001.271,0.2396558,0.925143372,0.7018341,64.28297,,,
9001.271,0.2396558,0.925143372,0.7108371,65.25417,,,
9001.271,0.2396619,0.925166919,0.7063357,64.66476,,,
8998.955,0.2396558,0.925143372,0.7018341,64.49137,,,
8998.955,0.2378979,0.91835735,0.7018341,63.44,,,
8998.955,0.23614,0.911571328,0.7063357,65.43492,,,
9001.271,0.2378979,0.91835735,0.7018341,63.9008,,,
9000.576,0.2378979,0.91835735,0.7018341,64.10938,,,
9001.271,0.2378979,0.91835735,0.7018341,64.10939,,,
9001.271,0.2378979,0.91835735,0.7108371,63.1354,,,
9314.981,0.2396558,0.925143372,0.7018341,62.82401,,,
9500.608,0.2396558,0.925143372,0.6613513,63.53374,,,
9500.608,0.2414197,0.931952555,0.6613513,61.5532,,,
9500.608,0.2414197,0.931952555,0.6613513,62.38632,,,
9500.608,0.2414197,0.931952555,0.6613513,61.46211,,,
9500.608,0.2396558,0.925143372,0.6613513,62.19512,,,
9500.608,0.2396558,0.925143372,0.6613513,62.19974,,,
9500.608,0.2431837,0.938762125,0.6658528,61.81291,,,
9500.608,0.2431837,0.938762125,0.6613513,63.6294,,,
9501.69,0.2396558,0.925143372,0.6658528,63.89806,,,
9500.608,0.2396558,0.925143372,0.6658528,62.29076,,,
9501.69,0.2396558,0.925143372,0.6658528,62.46389,,,
9500.608,0.2396558,0.925143372,0.6613513,62.29076,,,
9500.608,0.2431837,0.938762125,0.6613513,61.55315,,,
9501.69,0.2396558,0.925143372,0.6613513,63.61126,,,
9501.69,0.2396558,0.925143372,0.6658528,62.75072,,,
9886.064,0.2414197,0.931952555,0.6613513,59.89207,,,
10000.64,0.2449477,0.945571695,0.6208686,58.83529,,,
10000.64,0.2396558,0.925143372,0.62537,60.46618,,,
10001.85,0.2431837,0.938762125,0.62537,59.39273,,,
10000.64,0.2396558,0.925143372,0.6208686,60.19401,,,
9999.276,0.2414197,0.931952555,0.62537,59.65006,,,
10000.64,0.2396558,0.925143372,0.6208686,59.83133,,,
10001.85,0.2449477,0.945571695,0.62537,59.03061,,,
10001.85,0.2431837,0.938762125,0.6208686,60.29913,,,
10000.64,0.2449477,0.945571695,0.6298715,58.92572,,,
10500.67,0.2467116,0.952380879,0.5848567,56.47567,,,
10500.67,0.2431837,0.938762125,0.5938597,58.36428,,,
10501.75,0.2431837,0.938762125,0.5893582,58.1112,,,
10500.67,0.2467116,0.952380879,0.5893582,58.1112,,,
10500.67,0.2431837,0.938762125,0.5893582,58.09606,,,
10500.67,0.2431837,0.938762125,0.5848567,58.98241,,,
